Liquid Outlet_0,Gas Outlet_0,Final_Liquid Inlet,Final_Gas Inlet,Liquid Outlet_4,Gas Outlet_4,Liquid Outlet_8,Gas Outlet_8,Liquid Outlet_12,Gas Outlet_12,Liquid Outlet_16,Gas Outlet_16
0,0.00050025,0.000634847,0.074806535,0.000384,0.016432323,0.000378,0.013924564,0.000354,0.013616245,0.000354,0.013342341
0.000354,0.013342341,0.000504116,0.137462322,0.000084,0.046243984,0.000114,0.047705525,9.60E-05,0.043296818,0.000162,0.045150502
0.000252,0.045842775,0.00102249,0.121704992,0.000588,0.018088031,0.00054,0.018295374,0.000576,0.018122582,0.000594,0.017328495
0.000618,0.019853141,0.00040359,0.019783806,0.000312,0.010679514,0.000348,0.013581999,0.00033,0.012009176,0.000312,0.010645466
0.000384,0.020581732,0.000733719,0.104789261,0.000306,0.023541453,0.00033,0.024345273,0.000318,0.02441523,0.000372,0.026342798
0.00054,0.019853141,0.00118894,0.034393587,0.001056,0.005766394,0.00111,0.004957792,0.00105,0.00515982,0.001014,0.006508757
0.001092,0.003213628,0.000901792,0.074286942,0.000708,0.01495365,0.000714,0.015331506,0.000684,0.010917913,0.000678,0.010339137
0.00063,0.013068585,0.001230379,0.090572005,0.000894,0.0102881,0.000846,0.01095198,0.000882,0.014198783,0.000894,0.011599676
0.000912,0.012179898,0.000908551,0.066666667,0.00069,0.008369467,0.000696,0.011190508,0.000684,0.010407194,0.000684,0.006525641
0.000558,0.008298295,0.000179289,0.101200308,0,0.050714486,0.00E+00,0.050898518,0,0.051524711,0.00E+00,0.047230076
0.00E+00,0.05038339,0.000592634,0.128095211,0.000156,0.050273071,3.60E-05,0.051524711,9.00E-05,0.054963604,0.00006,0.052742394
0,0.078360891,9.55E-06,0.061064247,0,0.044059303,0.00E+00,0.057417786,0.00E+00,0.04558762,0,0.041594334
9.60E-05,0.024240355,6.19E-05,0.086956522,0,0.074306177,0,0.073806285,0,0.065000533,0,0.064093924
0,0.071734781,9.55E-06,0.064565923,0,0.061683831,0.00E+00,0.058649164,0,0.053703769,0.00E+00,0.058089091
0.00003,0.024590164,0.000748774,0.052188552,0.000582,0.006171183,0.000534,0.005800114,0.00057,0.005833836,0.0006,0.005429318
0.000528,0.00698174,0.000208505,0.043786859,0.000102,0.015675255,0.000108,0.021693969,0.000084,0.017018103,0.00009,0.014130214
0.00021,0.018883304,0.000572777,0.074633281,0.000402,0.020199959,0.000366,0.024345273,0.000336,0.016604541,0.000402,0.016053648
0.00033,0.019957162,0.000292603,0.096852035,5.40E-05,0.039068994,0.000018,0.048511114,6.00E-06,0.041341248,2.40E-05,0.039140977
7.20E-05,0.038493492,0.000116885,0.095950463,0,0.044059303,6.00E-06,0.040799334,1.80E-05,0.04260791,0,0.041883726
0,0.040691019,0.00085751,0.104240283,0.000498,0.026205877,0.000474,0.034732522,0.000468,0.019160212,0.000498,0.01719052
0.000312,0.03025516,0.000679015,0.115200178,0.000162,0.034625466,0.000216,0.043224258,0.00021,0.029300762,0.000216,0.031778787
0.000222,0.032524522,0.001058087,0.057194207,0.000606,0.007725899,0.000576,0.020790092,0.00057,0.010781671,0.000558,0.007624358
0.000804,0.005901288,0.000352696,0.112037809,6.60E-05,0.055260473,4.20E-05,0.048511114,7.80E-05,0.044459144,0.00006,0.045223329
5.40E-05,0.051856527,0.00028243,0.06292517,0.00015,0.023366877,0.000138,0.024485196,0.000108,0.022425193,0.000102,0.021728765
0.00012,0.024940212,0.001122052,0.092955899,0.000504,0.017087063,0.000528,0.01999184,0.000444,0.017777175,0.000414,0.017259503
0.000786,0.012384841,0.000952027,0.047943411,0.000756,0.006036217,0.000768,0.005580974,0.000792,0.007962907,0.000786,0.005968748
0.000654,0.00536193,0.001096168,0.119131554,0.000558,0.015744033,0.00051,0.026623777,0.000546,0.018675722,0.000564,0.013958833
0.000576,0.017811705,0.000456848,0.088850174,0.000156,0.030361313,0.00012,0.037739112,0.00012,0.028630207,0.000162,0.034126163
0.0003,0.026869759,0.000792738,0.124796131,0.00051,0.026834611,0.00051,0.02915952,0.000528,0.021068037,0.000528,0.017673598
0.000516,0.018502801,0.000443204,0.086779329,0.000258,0.022808633,0.000306,0.036341025,0.000252,0.025395632,0.000288,0.022913257
